"","name","n_in","complete","teval_lik","pkg","n_out","ny_out","nx_out","teval_pred","teval_var","teval_both"
"58","meuse",155,FALSE,0.0059372,"fields",1377329,1021,1349,10.5548838,45.4326995,55.9875833
"59","meuse",155,FALSE,0.0059372,"fields",5504577,2041,2697,42.1684656,269.7765603,311.9450259
"60","meuse",155,FALSE,0.0059372,"fields",22008833,4081,5393,169.216892,NA,NA
"61","meuse",155,FALSE,0.9404899,"geoR",88,8,11,NA,NA,0.0169811
"62","meuse",155,FALSE,0.9404899,"geoR",352,16,22,NA,NA,0.0336769
"63","meuse",155,FALSE,0.9404899,"geoR",1376,32,43,NA,NA,0.0979034
"64","meuse",155,FALSE,0.9404899,"geoR",5440,64,85,NA,NA,0.3509692
"65","meuse",155,FALSE,0.9404899,"geoR",21632,128,169,NA,NA,1.3653888
"66","meuse",155,FALSE,0.9404899,"geoR",86528,256,338,NA,NA,5.8915026
"67","meuse",155,FALSE,0.9404899,"geoR",344925,511,675,NA,NA,24.0069463
"68","meuse",155,FALSE,0.9404899,"geoR",1377329,1021,1349,NA,NA,94.2221655
"69","meuse",155,FALSE,0.9404899,"geoR",5504577,2041,2697,NA,NA,NA
"70","meuse",155,FALSE,0.9404899,"geoR",22008833,4081,5393,NA,NA,NA
"71","meuse",155,FALSE,NA,"gstat",88,8,11,NA,NA,0.0366296
"72","meuse",155,FALSE,NA,"gstat",352,16,22,NA,NA,0.0461713
"73","meuse",155,FALSE,NA,"gstat",1376,32,43,NA,NA,0.0826368
"74","meuse",155,FALSE,NA,"gstat",5440,64,85,NA,NA,0.2217502
"75","meuse",155,FALSE,NA,"gstat",21632,128,169,NA,NA,0.7801274
"76","meuse",155,FALSE,NA,"gstat",86528,256,338,NA,NA,3.0758653
"77","meuse",155,FALSE,NA,"gstat",344925,511,675,NA,NA,11.9737956
"78","meuse",155,FALSE,NA,"gstat",1377329,1021,1349,NA,NA,48.3115815
"79","meuse",155,FALSE,NA,"gstat",5504577,2041,2697,NA,NA,195.2005842
"80","meuse",155,FALSE,NA,"gstat",22008833,4081,5393,NA,NA,NA
"81","treed",1000,FALSE,0.3005657,"snapKrig",88,8,11,0.0036339,0.0076991,0.011333
"82","treed",1000,FALSE,0.3005657,"snapKrig",352,16,22,0.0153802,0.0932853,0.1086655
"83","treed",1000,FALSE,0.3005657,"snapKrig",1376,32,43,0.1177698,0.6965328,0.8143026
"84","treed",1000,FALSE,0.3005657,"snapKrig",5440,64,85,0.2368625,2.696316,2.9331785
"85","treed",1000,FALSE,0.3005657,"snapKrig",21632,128,169,0.3036283,7.3348014,7.6384297
"86","treed",1000,FALSE,0.3005657,"snapKrig",86528,256,338,0.3466373,21.3338773,21.6805146
"87","treed",1000,FALSE,0.3005657,"snapKrig",344925,511,675,0.4733682,73.7437117,74.2170799
"88","treed",1000,FALSE,0.3005657,"snapKrig",1377329,1021,1349,0.9571216,NA,NA
"89","treed",1000,FALSE,0.3005657,"snapKrig",5504577,2041,2697,2.7642778,NA,NA
"90","treed",1000,FALSE,0.3005657,"snapKrig",22008833,4081,5393,9.8658436,NA,NA
"91","treed",1000,FALSE,0.2362946,"fields",88,8,11,0.0046979,0.1428703,0.1475682
"92","treed",1000,FALSE,0.2362946,"fields",352,16,22,0.0173388,0.5580752,0.575414
"93","treed",1000,FALSE,0.2362946,"fields",1376,32,43,0.0664007,2.2029506,2.2693513
"94","treed",1000,FALSE,0.2362946,"fields",5440,64,85,0.2632583,8.7322614,8.9955197
"95","treed",1000,FALSE,0.2362946,"fields",21632,128,169,1.0443927,34.6506661,35.6950588
